,Dataset,Encoding,Mask,Avg. MSE,Std. MSE,stride
129,RossmanSales,STD,M,0.6111230070072503,0.02788266774159457,32
130,RossmanSales,ORD,M,0.48431682884306415,0.06223980605990624,32
131,RossmanSales,OHE,M,0.7853914367902257,0.010681113171652936,32
132,RossmanSales,STD,F,0.4453609615031868,0.004211179381047026,1
133,RossmanSales,ORD,F,0.09105290303922249,0.0015790884488540535,1
134,RossmanSales,OHE,F,0.4141134888626968,0.0007649229093993636,1
135,RossmanSales,STD,F,0.20782791852800991,0.004965005058528557,8
136,RossmanSales,ORD,F,0.09811667579748086,0.0012480280695674256,8
137,RossmanSales,OHE,F,0.2622440356724888,0.0015535660376296272,8
138,RossmanSales,STD,F,0.18975228655447393,0.0013288657299015247,16
139,RossmanSales,ORD,F,0.0958524068474638,0.0020889443700356906,16
140,RossmanSales,OHE,F,0.24533510851582974,0.0015679030576805874,16
141,RossmanSales,STD,F,0.1797506810235212,0.0014724639145516365,32
142,RossmanSales,ORD,F,0.11320802437173463,0.0014244872406515964,32
143,RossmanSales,OHE,F,0.22975439581922572,0.00033598258268891586,32
